,公司,未解鎖,已解鎖,解鎖比例
0,中華汽車工業股份有限公司,110,9,8.18%
1,三陽工業股份有限公司,91,0,0.00%
2,裕隆集團_裕隆汽車製造股份有限公司,90,4,4.44%
3,TOYOTA 製造商_國瑞汽車股份有限公司,74,2,2.70%
4,和泰汽車股份有限公司,59,2,3.39%
5,匯豐汽車股份有限公司,54,4,7.41%
6,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,48,0,0.00%
7,汎德永業汽車股份有限公司,47,3,6.38%
8,為升電裝工業股份有限公司,36,0,0.00%
9,裕隆集團_裕隆日產汽車股份有限公司,36,1,2.78%
10,太古汽車集團_英屬維京群島商太古國際汽車股份有限公司台灣分公司,32,2,6.25%
11,裕隆集團_格上汽車租賃股份有限公司,25,1,4.00%
12,裕融企業股份有限公司,20,2,10.00%
13,裕隆集團_納智捷汽車股份有限公司,16,0,0.00%
14,台灣本田汽車股份有限公司,16,0,0.00%
15,中華賓士汽車股份有限公司,15,2,13.33%
16,鴻華先進科技股份有限公司,10,1,10.00%
17,華德動能科技股份有限公司,10,0,0.00%
18,Luxgen_北智捷汽車股份有限公司,6,0,0.00%
19,LUXGEN納智捷汽車_中智捷汽車股份有限公司,6,0,0.00%
20,成運汽車製造股份有限公司,1,0,0.00%
